ticket_date,net_weight_kg,day_of_week,is_weekend,lag_1,lag_7,rolling_mean_7,rolling_std_7
2012-01-14,21837.14285714286,5,1,21281.428571428572,18798.571428571428,20280.61224489796,1565.0408825467678
2012-01-15,20578.571428571428,6,1,21837.14285714286,19275.714285714286,20466.73469387755,1501.8092748926385
2012-01-16,20524.285714285714,0,0,20578.571428571428,18984.285714285714,20686.73469387755,1353.9721643974362
2012-01-17,20461.428571428572,1,0,20524.285714285714,18142.85714285714,21017.95918367347,796.9656985008738
2012-01-18,21251.428571428572,2,0,20461.428571428572,20162.85714285714,21173.4693877551,702.9640148824401
2012-01-19,22024.285714285714,3,0,21251.428571428572,22280.0,21136.938775510203,639.6727631579682
2012-01-20,21765.714285714286,4,0,22024.285714285714,21281.428571428572,21206.12244897959,682.6497564566257
2012-01-21,22017.14285714286,5,1,21765.714285714286,21837.14285714286,21231.836734693876,713.092200145716
2012-01-22,21841.428571428572,6,1,22017.14285714286,20578.571428571428,21412.244897959183,679.2176657833314
2012-01-23,21545.714285714286,0,0,21841.428571428572,20524.285714285714,21558.163265306124,555.0251047124262
2012-01-24,20628.571428571428,1,0,21545.714285714286,20461.428571428572,21582.04081632653,500.93915685709965
2012-01-25,19874.285714285714,2,0,20628.571428571428,21251.428571428572,21385.306122448976,820.7548849362731
2012-01-26,20188.571428571428,3,0,19874.285714285714,22024.285714285714,21123.061224489797,874.0998979986525
2012-01-27,20844.285714285714,4,0,20188.571428571428,21765.714285714286,20991.428571428572,829.430178959458
2012-01-28,20837.14285714286,5,1,20844.285714285714,22017.14285714286,20822.85714285714,695.2848973157584
2012-01-29,20945.714285714286,6,1,20837.14285714286,21841.428571428572,20694.897959183672,542.143551754918
2012-01-30,21051.428571428572,0,0,20945.714285714286,21545.714285714286,20624.285714285714,434.32722232716765
2012-01-31,21898.571428571428,1,0,21051.428571428572,20628.571428571428,20805.714285714286,648.7439460087496
2012-02-01,21318.571428571428,2,0,21898.571428571428,19874.285714285714,21012.04081632653,520.0450380436199
2012-02-02,20781.428571428572,3,0,21318.571428571428,20188.571428571428,21096.73469387755,397.39775503212996
2012-02-03,20682.85714285714,4,0,20781.428571428572,20844.285714285714,21073.673469387755,418.6070658832643
2012-02-04,22068.571428571428,5,1,20682.85714285714,20837.14285714286,21249.591836734693,542.9296407014392
2012-02-05,26468.571428571428,6,1,22068.571428571428,20945.714285714286,22038.571428571428,2023.0595809385359
2012-02-06,24352.85714285714,0,0,26468.571428571428,21051.428571428572,22510.20408163265,2136.236029369842
2012-02-07,24857.14285714286,1,0,24352.85714285714,21898.571428571428,22932.85714285714,2282.71052631269
2012-02-08,27384.285714285714,2,0,24857.14285714286,21318.571428571428,23799.38775510204,2683.833543245976
2012-02-09,24891.428571428572,3,0,27384.285714285714,20781.428571428572,24386.530612244893,2341.2636650058726
2012-02-10,26101.428571428572,4,0,24891.428571428572,20682.85714285714,25160.61224489796,1728.1181729919433
2012-02-11,27192.85714285714,5,1,26101.428571428572,22068.571428571428,25892.653061224493,1206.6807874651963
2012-02-12,22207.14285714286,6,1,27192.85714285714,26468.571428571428,25283.877551020407,1797.846919827456
2012-02-13,24202.85714285714,0,0,22207.14285714286,24352.85714285714,25262.448979591838,1811.6343045039528
2012-02-14,23974.285714285714,1,0,24202.85714285714,24857.14285714286,25136.326530612245,1874.204567266088
2012-02-15,23201.428571428572,2,0,23974.285714285714,27384.285714285714,24538.775510204083,1696.412667308177
2012-02-16,26204.285714285714,3,0,23201.428571428572,24891.428571428572,24726.326530612245,1810.627330896572
2012-02-17,25844.285714285714,4,0,26204.285714285714,26101.428571428572,24689.591836734697,1780.435763041385
2012-02-18,23447.14285714286,5,1,25844.285714285714,27192.85714285714,24154.489795918365,1431.3578607597597
2012-02-19,24170.0,6,1,23447.14285714286,22207.14285714286,24434.897959183672,1151.1147679274527
2012-02-20,23967.14285714286,0,0,24170.0,24202.85714285714,24401.224489795917,1162.4260428735183
2012-02-21,24045.714285714286,1,0,23967.14285714286,23974.285714285714,24411.428571428572,1158.3600300354065
2012-02-22,24442.85714285714,2,0,24045.714285714286,23201.428571428572,24588.77551020408,1030.1708558415978
2012-02-23,23097.14285714286,3,0,24442.85714285714,26204.285714285714,24144.897959183672,875.9200632706181
2012-02-24,22135.714285714286,4,0,23097.14285714286,25844.285714285714,23615.102040816328,794.5155787390653
2012-02-25,21505.714285714286,5,1,22135.714285714286,23447.14285714286,23337.75510204082,1130.6625765461324
2012-02-26,20807.14285714286,6,1,21505.714285714286,24170.0,22857.34693877551,1400.3695888667216
2012-02-27,21424.285714285714,0,0,20807.14285714286,23967.14285714286,22494.08163265306,1394.3036270735229
2012-02-28,22598.571428571428,1,0,21424.285714285714,24045.714285714286,22287.34693877551,1222.6116321669138
2012-02-29,22184.285714285714,2,0,22598.571428571428,24442.85714285714,21964.693877551024,775.063181223494
2012-03-01,23138.571428571428,3,0,22184.285714285714,23097.14285714286,21970.61224489796,785.243086909652
2012-03-02,22997.14285714286,4,0,23138.571428571428,22135.714285714286,22093.673469387755,877.5095623809508
2012-03-03,23301.428571428572,5,1,22997.14285714286,21505.714285714286,22350.20408163265,937.4130085976383
2012-03-04,26090.0,6,1,23301.428571428572,20807.14285714286,23104.897959183672,1465.750917843278
2012-03-05,27968.571428571428,0,0,26090.0,21424.285714285714,24039.79591836735,2144.8845058058128
2012-03-06,26287.14285714286,1,0,27968.571428571428,22598.571428571428,24566.734693877548,2184.527644623958
2012-03-07,25498.571428571428,2,0,26287.14285714286,22184.285714285714,25040.204081632655,1925.9633915063623
2012-03-08,23784.285714285714,3,0,25498.571428571428,23138.571428571428,25132.448979591838,1832.9198137757485
2012-03-09,24845.714285714286,4,0,23784.285714285714,22997.14285714286,25396.530612244893,1591.2301870755177
2012-03-10,27055.714285714286,5,1,24845.714285714286,23301.428571428572,25932.85714285714,1386.9628641007237
2012-03-11,28174.285714285714,6,1,27055.714285714286,26090.0,26230.612244897962,1628.9412397880196
